key,scientific_name,species,family,country,year,month,basis_of_record
2772658438,"Egretta caerulea (Linnaeus, 1758)",Egretta caerulea,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
2772982484,"Fulica americana Gmelin, 1789",Fulica americana,Rallidae,United States of America,2023,12,HUMAN_OBSERVATION
2777350277,"Tringa melanoleuca (J.F.Gmelin, 1789)",Tringa melanoleuca,Scolopacidae,United States of America,2023,12,HUMAN_OBSERVATION
2778909792,"Setophaga palmarum (J.F.Gmelin, 1789)",Setophaga palmarum,Parulidae,United States of America,2023,12,HUMAN_OBSERVATION
2780206602,"Circus hudsonius (Linnaeus, 1766)",Circus cyaneus,Accipitridae,United States of America,2023,12,HUMAN_OBSERVATION
2782399578,"Porzana carolina (Linnaeus, 1758)",Porzana carolina,Rallidae,United States of America,2023,12,HUMAN_OBSERVATION
2782552451,"Pandion haliaetus (Linnaeus, 1758)",Pandion haliaetus,Pandionidae,United States of America,2023,12,HUMAN_OBSERVATION
2783411559,"Buteo lineatus (Gmelin, 1788)",Buteo lineatus,Accipitridae,United States of America,2023,12,HUMAN_OBSERVATION
2784250712,"Ardea herodias Linnaeus, 1758",Ardea herodias,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
4010986549,"Corvus cornix Linnaeus, 1758",Corvus cornix,Corvidae,Norway,2023,12,HUMAN_OBSERVATION
4010992562,"Pyrrhula pyrrhula (Linnaeus, 1758)",Pyrrhula pyrrhula,Fringillidae,Norway,2023,12,HUMAN_OBSERVATION
4011012396,"Cyanistes caeruleus (Linnaeus, 1758)",Cyanistes caeruleus,Paridae,Norway,2023,12,HUMAN_OBSERVATION
4011050432,"Pica pica (Linnaeus, 1758)",Pica pica,Corvidae,Norway,2023,12,HUMAN_OBSERVATION
4011058466,"Turdus merula Linnaeus, 1758",Turdus merula,Turdidae,Norway,2023,12,HUMAN_OBSERVATION
4011080326,"Erithacus rubecula (Linnaeus, 1758)",Erithacus rubecula,Muscicapidae,Norway,2023,12,HUMAN_OBSERVATION
4011089346,"Parus major Linnaeus, 1758",Parus major,Paridae,Norway,2023,12,HUMAN_OBSERVATION
4011098541,"Chloris chloris (Linnaeus, 1758)",Chloris chloris,Fringillidae,Norway,2023,12,HUMAN_OBSERVATION
1291443001,"Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)",Acanthiza chrysorrhoa,Acanthizidae,Australia,2024,12,PRESERVED_SPECIMEN
2650163143,"Chiroxiphia pareola (Linnaeus, 1766)",Chiroxiphia pareola,Pipridae,Brazil,2024,12,PRESERVED_SPECIMEN
2650163155,"Turdus leucomelas Vieillot, 1818",Turdus leucomelas,Turdidae,Brazil,2024,12,PRESERVED_SPECIMEN
4180433966,"Dryobates pubescens (Linnaeus, 1766)",Dryobates pubescens,Picidae,United States of America,2024,12,HUMAN_OBSERVATION
4213751739,"Todirostrum cinereum (Linnaeus, 1766)",Todirostrum cinereum,Tyrannidae,Colombia,2024,12,HUMAN_OBSERVATION
4217708021,"Tringa solitaria A.Wilson, 1813",Tringa solitaria,Scolopacidae,Colombia,2024,12,HUMAN_OBSERVATION
4226539806,"Buteo jamaicensis (Gmelin, 1788)",Buteo jamaicensis,Accipitridae,United States of America,2024,12,HUMAN_OBSERVATION
4228260155,"Ardea ibis Linnaeus, 1758",Bubulcus ibis,Ardeidae,Colombia,2024,12,HUMAN_OBSERVATION
4232261610,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,Tyrannidae,Colombia,2024,12,HUMAN_OBSERVATION
4241183007,"Turdus migratorius Linnaeus, 1766",Turdus migratorius,Turdidae,United States of America,2024,12,HUMAN_OBSERVATION
4241221608,"Zenaida macroura (Linnaeus, 1758)",Zenaida macroura,Columbidae,United States of America,2024,12,HUMAN_OBSERVATION
4241293833,"Baeolophus bicolor (Linnaeus, 1766)",Baeolophus bicolor,Paridae,United States of America,2024,12,HUMAN_OBSERVATION
4242430416,"Cyanocitta cristata (Linnaeus, 1758)",Cyanocitta cristata,Corvidae,United States of America,2024,12,HUMAN_OBSERVATION
4245919156,"Catharus guttatus (Pallas, 1811)",Catharus guttatus,Turdidae,United States of America,2024,12,HUMAN_OBSERVATION
4253252272,"Sitta carolinensis Latham, 1790",Sitta carolinensis,Sittidae,United States of America,2024,12,HUMAN_OBSERVATION
